نوع البطولة,الفريق الاول,الفريق الثاني,ميعاد المباراه,النتيجة
الدوري المصري,الأهلي,المقاولون العرب,21:00,- - -
الدوري المصري,بيراميدز,زد,21:00,- - -
أولمبياد باريس 2024 - كرة اليد,السويد,اليابان,10:00,- - -
أولمبياد باريس 2024 - كرة اليد,مصر,الأرجنتين,12:00,- - -
أولمبياد باريس 2024 - كرة اليد,ألمانيا,سلوفينيا,15:00,- - -
أولمبياد باريس 2024 - كرة اليد,المجر,فرنسا,17:00,- - -
أولمبياد باريس 2024 - كرة اليد,الدنمارك,النرويج,20:00,- - -
أولمبياد باريس 2024 - كرة اليد,إسبانيا,كرواتيا,22:00,- - -
مباريات ودية -أندية,مانشستر سيتي,تشيلسي,00:30,- - -
مباريات ودية -أندية,برشلونة,ريال مدريد,02:00,- - -
مباريات ودية -أندية,مانشستر يونايتد,ليفربول,02:45,- - -
